MT-TF	ENSG00000210049
MT-RNR1	ENSG00000211459
MT-TV	ENSG00000210077
MT-RNR2	ENSG00000210082
MT-TL1	ENSG00000209082
MT-ND1	ENSG00000198888
MT-TI	ENSG00000210100
MT-TQ	ENSG00000210107
MT-TM	ENSG00000210112
MT-ND2	ENSG00000198763
MT-TW	ENSG00000210117
MT-TA	ENSG00000210127
MT-TN	ENSG00000210135
MT-TC	ENSG00000210140
MT-TY	ENSG00000210144
MT-CO1	ENSG00000198804
MT-TS1	ENSG00000210151
MT-TD	ENSG00000210154
MT-CO2	ENSG00000198712
MT-TK	ENSG00000210156
MT-ATP8	ENSG00000228253
MT-ATP6	ENSG00000198899
MT-CO3	ENSG00000198938
MT-TG	ENSG00000210164
MT-ND3	ENSG00000198840
MT-TR	ENSG00000210174
MT-ND4L	ENSG00000212907
MT-ND4	ENSG00000198886
MT-TH	ENSG00000210176
MT-TS2	ENSG00000210184
MT-TL2	ENSG00000210191
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MT-TE	ENSG00000210194
MT-CYB	ENSG00000198727
MT-TT	ENSG00000210195
MT-TP	ENSG00000210196
FRG1FP	ENSG00000283047
RIPK1	ENSG00000137275
C5orf51	ENSG00000205765
NIPA2P5	ENSG00000236277
ACTR3BP6	ENSG00000226444
BCAS2P3	ENSG00000226670
KIF13A	ENSG00000137177
FRG1GP	ENSG00000283023
GAS2L1	ENSG00000185340
GSG1L2	ENSG00000214978
DHRS7C	ENSG00000184544
PLEKHG4B	ENSG00000153404
CRK	ENSG00000167193
ZNF72P	ENSG00000184624
BNIP3P2	ENSG00000236097
YME1L1P1	ENSG00000236831
ERBIN	ENSG00000112851
NDUFAF1	ENSG00000137806
OR11H1	ENSG00000130538
ARHGAP42P3	ENSG00000235759
PABPC1P11	ENSG00000228810
SH3GL2	ENSG00000107295
NDUFA11	ENSG00000174886
LRRC14B	ENSG00000185028
FUT5	ENSG00000130383
KBTBD11-OT1	ENSG00000253696
RPL6P27	ENSG00000235552
ESD	ENSG00000139684
LINC01387	ENSG00000265944
TTTY20	ENSG00000232808
IGHV1OR15-9	ENSG00000188403
CCDC127	ENSG00000164366
SLC20A1P3	ENSG00000258706
IGHV1OR15-2	ENSG00000259337
GAPDHP55	ENSG00000224055
RASL10A	ENSG00000100276
TSPY4	ENSG00000233803
FRMD5	ENSG00000171877
NEK2P2	ENSG00000231565
IGHV3OR15-7	ENSG00000259490
RTF1	ENSG00000137815
CELF5	ENSG00000161082
MTMR6	ENSG00000139505
PIN4P1	ENSG00000227973
ACTBP7	ENSG00000185607
FBXO4	ENSG00000151876
URB1-AS1	ENSG00000256073
RAD23B	ENSG00000119318
ARHGAP28	ENSG00000088756
POLE3	ENSG00000148229
MTMR10	ENSG00000166912
SDHA	ENSG00000073578
CYP7B1	ENSG00000172817
IGLV2-23	ENSG00000211660
USP18	ENSG00000184979
IGLVVI-22-1	ENSG00000253546
IGLV3-22	ENSG00000211661
IGLV3-21	ENSG00000211662
C9orf43	ENSG00000157653
HNRNPA3P4	ENSG00000226068
IGLVI-20	ENSG00000254240
FBXO22	ENSG00000167196
KLF2	ENSG00000127528
IGLV3-19	ENSG00000211663
ATP2B2	ENSG00000157087
HTR2A-AS1	ENSG00000224517
HTR2A	ENSG00000102468
CDH7	ENSG00000081138
ITPKA	ENSG00000137825
GSTA10P	ENSG00000230845
FAM197Y8	ENSG00000225560
GNG5P5	ENSG00000234590
RPSAP38	ENSG00000239694
ZADH2	ENSG00000180011
NUDT19P4	ENSG00000270900
RUNX2	ENSG00000124813
RBMXP1	ENSG00000216835
NRG4	ENSG00000169752
OR2K2	ENSG00000171133
LYRM7	ENSG00000186687
SDHAP3	ENSG00000185986
PDCD6	ENSG00000249915
SLC25A15P1	ENSG00000227629
HINT1	ENSG00000169567
NPM1P45	ENSG00000265593
GLP2R	ENSG00000065325
RPL31P41	ENSG00000239261
EXOSC3P1	ENSG00000229007
EVA1C	ENSG00000166979
RBM22P4	ENSG00000277769
RUNX2-AS1	ENSG00000261080
SUPT3H	ENSG00000196284
IGLV2-18	ENSG00000211664
IGLV3-17	ENSG00000253152
IGHD5OR15-5A	ENSG00000270961
IGLV3-16	ENSG00000211665
IGHD4OR15-4A	ENSG00000271317
IGLV3-15	ENSG00000253786
IGHD3OR15-3A	ENSG00000282520
IGLV2-14	ENSG00000211666
MST1R	ENSG00000164078
IGLV3-13	ENSG00000253590
IGLV3-12	ENSG00000211667
IGHD2OR15-2A	ENSG00000282599
NF1P6	ENSG00000224435
LINC02250	ENSG00000235731
LINC01072	ENSG00000236076
HPRT1P2	ENSG00000250587
LINC01509	ENSG00000226825
C13orf42	ENSG00000226792
GJA3	ENSG00000121743
IGHD1OR15-1A	ENSG00000271336
RPL19P11	ENSG00000241668
FAM30B	ENSG00000277988
TARS	ENSG00000113407
LINC01230	ENSG00000281769
PRELID3BP2	ENSG00000271242
RPL5P31	ENSG00000214878
BCAR1P1	ENSG00000258397
WBP1LP12	ENSG00000271530
GASAL1	ENSG00000253669
APOBEC3H	ENSG00000100298
OR4F1P	ENSG00000220212
MCIDAS	ENSG00000234602
MED15P7	ENSG00000234381
MTHFD2P6	ENSG00000249266
CICP18	ENSG00000217929
CDH6	ENSG00000113361
LINC00251	ENSG00000280725
BMS1P15	ENSG00000258780
PRPF19P1	ENSG00000264685
GAPDHP62	ENSG00000251013
EPPK1	ENSG00000261150
ANKRD46	ENSG00000186106
ARSA	ENSG00000100299
PDE8A	ENSG00000073417
RANBP3	ENSG00000031823
METTL21EP	ENSG00000250878
RAB28P3	ENSG00000227353
PPIAP28	ENSG00000226633
APPL1	ENSG00000157500
RBPJP6	ENSG00000227924
RAB9AP4	ENSG00000235479
ZNF346-IT1	ENSG00000251666
MTND6P2	ENSG00000250389
LINC00556	ENSG00000260131
DUX4L51	ENSG00000250482
ZNF346	ENSG00000113761
PARP4P1	ENSG00000237917
CD276	ENSG00000103855
CCNQP2	ENSG00000231514
RPS4XP7	ENSG00000218265
MOB2	ENSG00000182208
LINC00189	ENSG00000215533
SLC10A2	ENSG00000125255
TRAPPC2P7	ENSG00000249606
MTCYBP37	ENSG00000248765
BACH1-IT2	ENSG00000228817
BACH1-IT1	ENSG00000248476
NEFL	ENSG00000277586
BACH1-IT3	ENSG00000234293
GJB2	ENSG00000165474
AP1B1	ENSG00000100280
BACH1-AS1	ENSG00000232118
GRIK1	ENSG00000171189
PDE4C	ENSG00000105650
MON1A	ENSG00000164077
LARS	ENSG00000133706
FAM207A	ENSG00000160256
FGF7P5	ENSG00000204816
FGF7P4	ENSG00000216829
LINC01309	ENSG00000234551
SNX18P4	ENSG00000229146
TEFM	ENSG00000172171
ATP6V1G1P7	ENSG00000230474
CCNO	ENSG00000152669
SHPK	ENSG00000197417
TTTY14	ENSG00000176728
COX5BP7	ENSG00000226024
POTEH-AS1	ENSG00000236666
CBX7	ENSG00000100307
POTEH	ENSG00000198062
LINC00898	ENSG00000205634
TRPV1	ENSG00000196689
LINC00904	ENSG00000271649
IGLV2-11	ENSG00000211668
GSTA3	ENSG00000174156
IGLV3-10	ENSG00000211669
OFD1P6Y	ENSG00000242153
DHX29	ENSG00000067248
ASB14	ENSG00000239388
EEF1A1P42	ENSG00000277043
PEMT	ENSG00000133027
MTCYBP2	ENSG00000217179
ELOCP14	ENSG00000228193
PPIAP86	ENSG00000213873
HSFY2	ENSG00000169953
LINC01299	ENSG00000254081
ANKRD20A3	ENSG00000276203
ADAMTS7P3	ENSG00000261143
XKRYP2	ENSG00000230904
ZNF839P1	ENSG00000217896
TSHZ1	ENSG00000179981
USP9YP28	ENSG00000224151
TBC1D2B	ENSG00000167202
RLN3	ENSG00000171136
CSTF3-DT	ENSG00000247151
USP9YP2	ENSG00000249501
PRYP6	ENSG00000248573
USP9YP10	ENSG00000238135
LINC00294	ENSG00000280798
CD24P4	ENSG00000185275
CSTF3	ENSG00000176102
GPM6BP2	ENSG00000236429
OFD1P7Y	ENSG00000238088
LINC01667	ENSG00000280081
KALRN	ENSG00000160145
ACLY	ENSG00000131473
SMIM21	ENSG00000206026
PARP1P1	ENSG00000227105
GSTA9P	ENSG00000243236
UBL5	ENSG00000198258
PIGCP1	ENSG00000213713
GRIK1-AS1	ENSG00000174680
TCP11L1	ENSG00000176148
CDH19	ENSG00000071991
TNNC1	ENSG00000114854
ABLIM3	ENSG00000173210
MICAL2	ENSG00000133816
GAPDHP14	ENSG00000236056
PLAC8L1	ENSG00000173261
BACH1	ENSG00000156273
FAM124A	ENSG00000150510
LINC00431	ENSG00000225760
SULT1B1	ENSG00000173597
COL7A1	ENSG00000114270
N4BP2L2-IT2	ENSG00000281026
N4BP2L2	ENSG00000244754
LINC00690	ENSG00000233570
MYD88	ENSG00000172936
TRAJ53	ENSG00000211837
XPC	ENSG00000154767
TRAJ52	ENSG00000211838
RPL7P45	ENSG00000225823
ATP10A	ENSG00000206190
ULBP2	ENSG00000131015
RPL29P23	ENSG00000241950
LINC01838	ENSG00000269037
TMEM184B	ENSG00000198792
POLA2	ENSG00000014138
COQ4	ENSG00000167113
ULBP1	ENSG00000111981
ANTXRLP1	ENSG00000263482
TAS2R45	ENSG00000261936
LINC01986	ENSG00000223587
CLCNKB	ENSG00000184908
TRAJ51	ENSG00000248366
PPFIBP2	ENSG00000166387
ZFAND1	ENSG00000104231
CHEK2P2	ENSG00000259156
AKR1B1P7	ENSG00000266899
CAMP	ENSG00000164047
ZFHX4-AS1	ENSG00000253661
VMAC	ENSG00000187650
TERC	ENSG00000270141
PDPN	ENSG00000162493
LINC02199	ENSG00000250198
N4BP2L1	ENSG00000139597
LINC01109	ENSG00000271167
CAPS	ENSG00000105519
SIGLEC29P	ENSG00000268267
ANKRD1	ENSG00000148677
ZFHX4	ENSG00000091656
ACTRT3	ENSG00000184378
MMUT	ENSG00000146085
PFKL	ENSG00000141959
LSM3	ENSG00000170860
TRAJ50	ENSG00000211839
TRAJ49	ENSG00000211840
ATP2B2-IT2	ENSG00000224771
ATP2B2-IT1	ENSG00000236999
APH1B	ENSG00000138613
ZNF30-AS1	ENSG00000270876
UBXN2A	ENSG00000173960
CCND3	ENSG00000112576
MPLKIP	ENSG00000168303
TMEM43	ENSG00000170876
CDC42EP2	ENSG00000149798
DDX1	ENSG00000079785
SALRNA1	ENSG00000258952
RHOT2	ENSG00000140983
ADGRF5P2	ENSG00000204818
ACTG1	ENSG00000184009
CD40	ENSG00000101017
LINC00368	ENSG00000225870
CYS1	ENSG00000205795
KIAA0319	ENSG00000137261
BPHL	ENSG00000137274
CAPN13	ENSG00000162949
ARMC1	ENSG00000104442
CHL1	ENSG00000134121
SDHCP3	ENSG00000234946
GH2	ENSG00000136487
DAOA	ENSG00000182346
MLH3	ENSG00000119684
RPS2P1	ENSG00000225246
RPL7P15	ENSG00000240622
RASSF1	ENSG00000068028
FAM238C	ENSG00000283709
TMEM17	ENSG00000186889
ATP8A2P2	ENSG00000229800
PCM1	ENSG00000078674
LINC01111	ENSG00000254300
IGLV3-9	ENSG00000211670
MRPL9P1	ENSG00000254305
ADGB	ENSG00000118492
IGLV2-8	ENSG00000278196
HMGA1P7	ENSG00000216753
IGLV3-7	ENSG00000254077
XPOTP1	ENSG00000214185
IGLV3-6	ENSG00000253448
AHCY	ENSG00000101444
IGLV2-5	ENSG00000253234
PIEZO1P2	ENSG00000237121
IGLV3-4	ENSG00000226420
GATA5	ENSG00000130700
DAOA-AS1	ENSG00000232307
SEMA5A	ENSG00000112902
MEP1AP4	ENSG00000224537
RFC1	ENSG00000035928
MRPL38	ENSG00000204316
ANKRD20A7P	ENSG00000236816
RPL21P11	ENSG00000242571
SIX1	ENSG00000126778
PSAT1P2	ENSG00000232144
AFAP1L1	ENSG00000157510
RSL24D1P2	ENSG00000230595
